id;tracking_id;group_id;job_id;is_finish;finish_time;user_code;x_num;y_num;xy
1;tra112233;1;9c9af02d063ae21w8d206632;false;2021-04-06T13:34:00;code123;11;9;K-9
2;tra112234;10;9c9af02d063ae21w8d206632;false;2021-04-06T10:12:30;code123;11;10;K-10
3;tra112235;11;9c9af02d063ae21w8d206632;false;2021-04-06T23:04:43;code123;11;7;K-7
4;tra112236;12;9c9af02d063ae21w8d206632;false;2021-04-06T18:26:14;code123;11;11;K-11
5;tra112237;11;9c9af02d063ae21w8d206632;false;2021-04-06T17:10:33;code123;12;10;L-10
6;tra112238;12;9c9af02d063ae21w8d206632;false;2021-04-07T01:38:11;code123;12;11;L-11
7;tra112238;11;9c9af02d063ae21w8d206632;false;2021-04-06T15:40:58;code123;11;11;K-11
8;tra112240;12;9c9af02d063ae21w8d206632;false;2021-04-07T00:45:38;code123;11;11;K-11
9;tra112244;14;9c9af02d063ae21w8d206632;false;2021-04-06T22:21:31;code123;11;11;K-11
10;tra112242;15;9c9af02d063ae21w8d206632;false;2021-04-06T12:19:47;code123;11;11;K-11
